token,df,df_frac
npm::@babel/code-frame,155,0.2935606060606061
npm::@babel/compat-data,119,0.22537878787878787
npm::@babel/core,144,0.2727272727272727
npm::@babel/generator,144,0.2727272727272727
npm::@babel/helper-annotate-as-pure,125,0.23674242424242425
npm::@babel/helper-builder-binary-assignment-operator-visitor,117,0.2215909090909091
npm::@babel/helper-compilation-targets,119,0.22537878787878787
npm::@babel/helper-create-class-features-plugin,109,0.20643939393939395
npm::@babel/helper-function-name,143,0.2708333333333333
npm::@babel/helper-hoist-variables,136,0.25757575757575757
npm::@babel/helper-member-expression-to-functions,122,0.23106060606060605
npm::@babel/helper-module-imports,142,0.2689393939393939
npm::@babel/helper-module-transforms,139,0.26325757575757575
npm::@babel/helper-optimise-call-expression,122,0.23106060606060605
npm::@babel/helper-plugin-utils,136,0.25757575757575757
npm::@babel/helper-remap-async-to-generator,117,0.2215909090909091
npm::@babel/helper-replace-supers,122,0.23106060606060605
npm::@babel/helper-simple-access,138,0.26136363636363635
npm::@babel/helper-split-export-declaration,142,0.2689393939393939
npm::@babel/helper-validator-identifier,130,0.24621212121212122
npm::@babel/helper-validator-option,107,0.20265151515151514
npm::@babel/helper-wrap-function,117,0.2215909090909091
npm::@babel/helpers,140,0.26515151515151514
npm::@babel/highlight,153,0.2897727272727273
npm::@babel/parser,145,0.2746212121212121
npm::@babel/plugin-proposal-class-properties,108,0.20454545454545456
npm::@babel/plugin-syntax-async-generators,121,0.22916666666666666
npm::@babel/plugin-syntax-dynamic-import,117,0.2215909090909091
npm::@babel/plugin-syntax-json-strings,119,0.22537878787878787
npm::@babel/plugin-syntax-jsx,106,0.20075757575757575
npm::@babel/plugin-syntax-nullish-coalescing-operator,107,0.20265151515151514
npm::@babel/plugin-syntax-object-rest-spread,123,0.23295454545454544
npm::@babel/plugin-syntax-optional-catch-binding,121,0.22916666666666666
npm::@babel/plugin-syntax-optional-chaining,107,0.20265151515151514
npm::@babel/plugin-transform-arrow-functions,118,0.22348484848484848
npm::@babel/plugin-transform-async-to-generator,115,0.2178030303030303
npm::@babel/plugin-transform-block-scoped-functions,117,0.2215909090909091
npm::@babel/plugin-transform-block-scoping,118,0.22348484848484848
npm::@babel/plugin-transform-classes,118,0.22348484848484848
npm::@babel/plugin-transform-computed-properties,118,0.22348484848484848
npm::@babel/plugin-transform-destructuring,118,0.22348484848484848
npm::@babel/plugin-transform-dotall-regex,112,0.21212121212121213
npm::@babel/plugin-transform-duplicate-keys,112,0.21212121212121213
npm::@babel/plugin-transform-exponentiation-operator,117,0.2215909090909091
npm::@babel/plugin-transform-for-of,118,0.22348484848484848
npm::@babel/plugin-transform-function-name,118,0.22348484848484848
npm::@babel/plugin-transform-literals,118,0.22348484848484848
npm::@babel/plugin-transform-member-expression-literals,112,0.21212121212121213
npm::@babel/plugin-transform-modules-amd,112,0.21212121212121213
npm::@babel/plugin-transform-modules-commonjs,118,0.22348484848484848
npm::@babel/plugin-transform-modules-systemjs,111,0.21022727272727273
npm::@babel/plugin-transform-modules-umd,111,0.21022727272727273
npm::@babel/plugin-transform-named-capturing-groups-regex,109,0.20643939393939395
npm::@babel/plugin-transform-new-target,111,0.21022727272727273
npm::@babel/plugin-transform-object-super,117,0.2215909090909091
npm::@babel/plugin-transform-parameters,118,0.22348484848484848
npm::@babel/plugin-transform-property-literals,112,0.21212121212121213
npm::@babel/plugin-transform-regenerator,117,0.2215909090909091
